ID_Institusi;Institusi;ID_Program;Program;ID_Fakultas;Fakultas;ID_Program_Studi;Program_Studi;ID_Semester;Semester;Kode_MK;Kelas;ID_Kelas
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184202;Akuntansi Finansial (C);3c2cd2f5-6639-44e4-86c7-57a3ad8154ea
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184202;Akuntansi Finansial (A);abe1da17-878d-4763-a69d-162ba525afd0
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184202;Akuntansi Finansial (B);1e9e4e85-838b-426e-acad-029914478933
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184203;Analisis Data (C);550018e2-9b9b-45c0-a095-634f29510d34
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184203;Analisis Data (A);1f1475bc-bb21-44f5-9987-e237ea468e6b
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184203;Analisis Data (B);3307ca96-240a-4f65-8d43-2c6a43f21ac4
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184204;Berpikir Desain untuk Inovasi (B);78ae9fb6-ebd8-40ef-8d1e-d1f94c7f1268
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184204;Berpikir Desain untuk Inovasi (C);eb888078-3f2b-4021-93d7-dd3215b95b9b
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184204;Berpikir Desain untuk Inovasi (A);714de567-7dd8-43ca-aa35-2c7f8c7deb3a
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28108;S-1 MANAJEMEN BISNIS EXCHANGE;20192;Semester Genap 2019/2020;BB184204;Berpikir Desain untuk Inovasi (B);2e1fd28d-5544-48d7-8067-506c3a2f3264
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184401;Manajemen Investasi dan Portofolio (B);b45fe7f5-9625-4082-8169-3a9b520db6e5
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184401;Manajemen Investasi dan Portofolio (C);deb00dc2-8b2e-46c4-8f2b-818369d4a5e6
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184401;Manajemen Investasi dan Portofolio (A);8140b884-3ddd-4abe-8cd3-8c2adc163ca9
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184402;Komunikasi Bisnis (A);79abcdd3-3723-4753-8298-870b3046fb52
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184402;Komunikasi Bisnis (B);7b85f393-9e99-4248-8c13-e88b3ba5cc3f
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28100;S-1 MANAJEMEN BISNIS;20192;Semester Genap 2019/2020;BB184402;Komunikasi Bisnis (C);003d7bf6-5fa9-4665-bb3b-7b07a4efe411
89C82DA3-7B28-4305-82C4-347DAE042847;Institut Teknologi Sepuluh Nopember;S1;Sarjana;CREABIZ;Fakultas Desain Kreatif dan Bisnis Digital;28108;S-1 MANAJEMEN BISNIS EXCHANGE;20192;Semester Genap 2019/2020;BB184402;Komunikasi Bisnis (B);fd8896df-fcc3-430f-ae48-33637f8e769e
